geometry_id,volume_id,layer_id,surface_id,type_loc0,nbins_loc0,min_loc0,max_loc0,type_loc1,nbins_loc1,min_loc1,max_loc1
432345701666521088,6,2,1,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432345839105474560,6,4,3,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432345976544428032,6,6,5,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432346113983381504,6,8,7,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432346251422334976,6,10,9,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432346388861288448,6,12,11,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432346526300241920,6,14,13,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432346663739195392,6,16,15,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432346801178148864,6,18,17,-1,2,79.9988708,122.701164,-1,21,-3.14159274,3.14159274
432346938617102336,6,20,19,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432347076056055808,6,22,21,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432347213495009280,6,24,23,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432347350933962752,6,26,25,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432347488372916224,6,28,27,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432347625811869696,6,30,29,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432347763250823168,6,32,31,-1,2,58.6988106,79.6006317,-1,29,-3.14159274,3.14159274
432347900689776640,6,34,33,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432348038128730112,6,36,35,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432348175567683584,6,38,37,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432348313006637056,6,40,39,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
432348450445590528,6,42,41,-1,3,35.9988708,122.701164,-1,21,-3.14159274,3.14159274
