geometry_id,volume_id,layer_id,min_v0,max_v0,min_v1,max_v1,min_v2,max_v2
144115325514809344,2,2,0,29.9242439,-4002,4002,-1,-1
288230513590665216,4,2,29.9242439,1085.41174,-4002,-3036.5625,-1,-1
504403295704449024,7,2,29.9242439,713.268433,-3036.5625,-2968.5625,-1,-1
720576077818232832,10,2,29.9242439,190,-2968.5625,-1951,-1,-1
864691403333042176,12,3,29.9242439,190,-1951,-1534.43127,-3.14159274,3.14159274
864691403333042176,12,4,29.9242439,190,-1534.43127,-1505.56873,-3.14159274,3.14159274
864691540771995648,12,5,29.9242439,190,-1505.56873,-1334.43127,-3.14159274,3.14159274
864691540771995648,12,6,29.9242439,190,-1334.43127,-1305.56873,-3.14159274,3.14159274
864691678210949120,12,7,29.9242439,190,-1305.56873,-1134.43127,-3.14159274,3.14159274
864691678210949120,12,8,29.9242439,190,-1134.43127,-1105.56873,-3.14159274,3.14159274
864691815649902592,12,9,29.9242439,190,-1105.56873,-994.431274,-3.14159274,3.14159274
864691815649902592,12,10,29.9242439,190,-994.431274,-965.568726,-3.14159274,3.14159274
864691953088856064,12,11,29.9242439,190,-965.568726,-854.431274,-3.14159274,3.14159274
864691953088856064,12,12,29.9242439,190,-854.431274,-825.568726,-3.14159274,3.14159274
864692090527809536,12,13,29.9242439,190,-825.568726,-734.431274,-3.14159274,3.14159274
864692090527809536,12,14,29.9242439,190,-734.431274,-705.568726,-3.14159274,3.14159274
864692227966763008,12,15,29.9242439,190,-705.568726,-634.431274,-3.14159274,3.14159274
864692227966763008,12,16,29.9242439,190,-634.431274,-605.568726,-3.14159274,3.14159274
864692227966763008,12,17,29.9242439,190,-605.568726,-557.284363,-3.14159274,3.14159274
936748859932016640,13,1,29.9242439,30.9242439,-557.284363,560.834351,-3.14159274,3.14159274
936748859932016640,13,2,30.9242439,39.3315887,-557.284363,560.834351,-3.14159274,3.14159274
936748997370970112,13,3,39.3315887,66.6653519,-557.284363,560.834351,-3.14159274,3.14159274
936748997370970112,13,4,66.6653519,74.7755356,-557.284363,560.834351,-3.14159274,3.14159274
936749134809923584,13,5,74.7755356,112.467278,-557.284363,560.834351,-3.14159274,3.14159274
936749134809923584,13,6,112.467278,120.566368,-557.284363,560.834351,-3.14159274,3.14159274
936749272248877056,13,7,120.566368,168.371109,-557.284363,560.834351,-3.14159274,3.14159274
936749272248877056,13,8,168.371109,176.462921,-557.284363,560.834351,-3.14159274,3.14159274
936749272248877056,13,9,176.462921,190,-557.284363,560.834351,-3.14159274,3.14159274
1008806453969944576,14,1,29.9242439,190,560.834351,606.168762,-3.14159274,3.14159274
1008806453969944576,14,2,29.9242439,190,606.168762,633.831238,-3.14159274,3.14159274
1008806591408898048,14,3,29.9242439,190,633.831238,706.168762,-3.14159274,3.14159274
1008806591408898048,14,4,29.9242439,190,706.168762,733.831238,-3.14159274,3.14159274
1008806728847851520,14,5,29.9242439,190,733.831238,826.168762,-3.14159274,3.14159274
1008806728847851520,14,6,29.9242439,190,826.168762,853.831238,-3.14159274,3.14159274
1008806866286804992,14,7,29.9242439,190,853.831238,966.168762,-3.14159274,3.14159274
1008806866286804992,14,8,29.9242439,190,966.168762,993.831238,-3.14159274,3.14159274
1008807003725758464,14,9,29.9242439,190,993.831238,1106.1687,-3.14159274,3.14159274
1008807003725758464,14,10,29.9242439,190,1106.1687,1133.8313,-3.14159274,3.14159274
1008807141164711936,14,11,29.9242439,190,1133.8313,1306.1687,-3.14159274,3.14159274
1008807141164711936,14,12,29.9242439,190,1306.1687,1333.8313,-3.14159274,3.14159274
1008807278603665408,14,13,29.9242439,190,1333.8313,1506.1687,-3.14159274,3.14159274
1008807278603665408,14,14,29.9242439,190,1506.1687,1533.8313,-3.14159274,3.14159274
1080864048007872512,15,2,29.9242439,190,1951,2968.5625,-1,-1
1224979236083728384,17,1,190,713.268433,-2968.5625,-2967.5625,-3.14159274,3.14159274
1224979236083728384,17,2,190,713.268433,-2967.5625,-2932.4375,-3.14159274,3.14159274
1224979373522681856,17,3,190,713.268433,-2932.4375,-2567.5625,-3.14159274,3.14159274
1224979373522681856,17,4,190,713.268433,-2567.5625,-2532.4375,-3.14159274,3.14159274
1224979510961635328,17,5,190,713.268433,-2532.4375,-2217.5625,-3.14159274,3.14159274
1224979510961635328,17,6,190,713.268433,-2217.5625,-2182.4375,-3.14159274,3.14159274
1224979648400588800,17,7,190,713.268433,-2182.4375,-1867.5625,-3.14159274,3.14159274
1224979648400588800,17,8,190,713.268433,-1867.5625,-1832.4375,-3.14159274,3.14159274
1224979785839542272,17,9,190,713.268433,-1832.4375,-1567.5625,-3.14159274,3.14159274
1224979785839542272,17,10,190,713.268433,-1567.5625,-1532.4375,-3.14159274,3.14159274
1224979923278495744,17,11,190,713.268433,-1532.4375,-1317.5625,-3.14159274,3.14159274
1224979923278495744,17,12,190,713.268433,-1317.5625,-1282.4375,-3.14159274,3.14159274
1224979923278495744,17,13,190,713.268433,-1282.4375,-1213.21875,-3.14159274,3.14159274
1297036830121656320,18,1,190,247.459335,-1213.21875,1218.21875,-3.14159274,3.14159274
1297036830121656320,18,2,247.459335,289.701141,-1213.21875,1218.21875,-3.14159274,3.14159274
1297036967560609792,18,3,289.701141,347.152802,-1213.21875,1218.21875,-3.14159274,3.14159274
1297036967560609792,18,4,347.152802,389.408966,-1213.21875,1218.21875,-3.14159274,3.14159274
1297037104999563264,18,5,389.408966,486.930634,-1213.21875,1218.21875,-3.14159274,3.14159274
1297037104999563264,18,6,486.930634,529.194336,-1213.21875,1218.21875,-3.14159274,3.14159274
1297037242438516736,18,7,529.194336,646.792603,-1213.21875,1218.21875,-3.14159274,3.14159274
1297037242438516736,18,8,646.792603,689.059814,-1213.21875,1218.21875,-3.14159274,3.14159274
1297037242438516736,18,9,689.059814,713.268433,-1213.21875,1218.21875,-3.14159274,3.14159274
1369094424159584256,19,1,190,713.268433,1218.21875,1282.4375,-3.14159274,3.14159274
1369094424159584256,19,2,190,713.268433,1282.4375,1317.5625,-3.14159274,3.14159274
1369094561598537728,19,3,190,713.268433,1317.5625,1532.4375,-3.14159274,3.14159274
1369094561598537728,19,4,190,713.268433,1532.4375,1567.5625,-3.14159274,3.14159274
1369094699037491200,19,5,190,713.268433,1567.5625,1832.4375,-3.14159274,3.14159274
1369094699037491200,19,6,190,713.268433,1832.4375,1867.5625,-3.14159274,3.14159274
1369094836476444672,19,7,190,713.268433,1867.5625,2182.4375,-3.14159274,3.14159274
1369094836476444672,19,8,190,713.268433,2182.4375,2217.5625,-3.14159274,3.14159274
1369094973915398144,19,9,190,713.268433,2217.5625,2532.4375,-3.14159274,3.14159274
1369094973915398144,19,10,190,713.268433,2532.4375,2567.5625,-3.14159274,3.14159274
1369095111354351616,19,11,190,713.268433,2567.5625,2932.4375,-3.14159274,3.14159274
1369095111354351616,19,12,190,713.268433,2932.4375,2967.5625,-3.14159274,3.14159274
1369095111354351616,19,13,190,713.268433,2967.5625,2968.5625,-3.14159274,3.14159274
1441152018197512192,20,2,29.9242439,713.268433,2968.5625,3036.5625,-1,-1
1585267206273368064,22,1,713.268433,1085.41174,-3036.5625,-3035.5625,-3.14159274,3.14159274
1585267206273368064,22,2,713.268433,1085.41174,-3035.5625,-2964.4375,-3.14159274,3.14159274
1585267343712321536,22,3,713.268433,1085.41174,-2964.4375,-2635.5625,-3.14159274,3.14159274
1585267343712321536,22,4,713.268433,1085.41174,-2635.5625,-2564.4375,-3.14159274,3.14159274
1585267481151275008,22,5,713.268433,1085.41174,-2564.4375,-2285.5625,-3.14159274,3.14159274
1585267481151275008,22,6,713.268433,1085.41174,-2285.5625,-2214.4375,-3.14159274,3.14159274
1585267618590228480,22,7,713.268433,1085.41174,-2214.4375,-1935.5625,-3.14159274,3.14159274
1585267618590228480,22,8,713.268433,1085.41174,-1935.5625,-1864.4375,-3.14159274,3.14159274
1585267756029181952,22,9,713.268433,1085.41174,-1864.4375,-1635.5625,-3.14159274,3.14159274
1585267756029181952,22,10,713.268433,1085.41174,-1635.5625,-1564.4375,-3.14159274,3.14159274
1585267893468135424,22,11,713.268433,1085.41174,-1564.4375,-1335.5625,-3.14159274,3.14159274
1585267893468135424,22,12,713.268433,1085.41174,-1335.5625,-1264.4375,-3.14159274,3.14159274
1585267893468135424,22,13,713.268433,1085.41174,-1264.4375,-1205.15686,-3.14159274,3.14159274
1657324800311296000,23,1,713.268433,800.660889,-1205.15686,1210.15686,-3.14159274,3.14159274
1657324800311296000,23,2,800.660889,856.82428,-1205.15686,1210.15686,-3.14159274,3.14159274
1657324937750249472,23,3,856.82428,1000.36688,-1205.15686,1210.15686,-3.14159274,3.14159274
1657324937750249472,23,4,1000.36688,1056.56714,-1205.15686,1210.15686,-3.14159274,3.14159274
1657324937750249472,23,5,1056.56714,1085.41174,-1205.15686,1210.15686,-3.14159274,3.14159274
1729382394349223936,24,1,713.268433,1085.41174,1210.15686,1264.4375,-3.14159274,3.14159274
1729382394349223936,24,2,713.268433,1085.41174,1264.4375,1335.5625,-3.14159274,3.14159274
1729382531788177408,24,3,713.268433,1085.41174,1335.5625,1564.4375,-3.14159274,3.14159274
1729382531788177408,24,4,713.268433,1085.41174,1564.4375,1635.5625,-3.14159274,3.14159274
1729382669227130880,24,5,713.268433,1085.41174,1635.5625,1864.4375,-3.14159274,3.14159274
1729382669227130880,24,6,713.268433,1085.41174,1864.4375,1935.5625,-3.14159274,3.14159274
1729382806666084352,24,7,713.268433,1085.41174,1935.5625,2214.4375,-3.14159274,3.14159274
1729382806666084352,24,8,713.268433,1085.41174,2214.4375,2285.5625,-3.14159274,3.14159274
1729382944105037824,24,9,713.268433,1085.41174,2285.5625,2564.4375,-3.14159274,3.14159274
1729382944105037824,24,10,713.268433,1085.41174,2564.4375,2635.5625,-3.14159274,3.14159274
1729383081543991296,24,11,713.268433,1085.41174,2635.5625,2964.4375,-3.14159274,3.14159274
1729383081543991296,24,12,713.268433,1085.41174,2964.4375,3035.5625,-3.14159274,3.14159274
1729383081543991296,24,13,713.268433,1085.41174,3035.5625,3036.5625,-3.14159274,3.14159274
1801439988387151872,25,2,29.9242439,1085.41174,3036.5625,4002,-1,-1
