geometry_id,volume_id,layer_id,min_v0,max_v0,min_v1,max_v1,min_v2,max_v2
360288107628593152,5,2,0,20.3999996,-3001,3001,-1,-1
504403295704449024,7,1,20.3999996,182.200348,-3001,-1503.57495,-3.14159274,3.14159274
504403295704449024,7,2,20.3999996,182.200348,-1503.57495,-1496.42505,-3.14159274,3.14159274
504403433143402496,7,3,20.3999996,182.200348,-1496.42505,-1303.57495,-3.14159274,3.14159274
504403433143402496,7,4,20.3999996,182.200348,-1303.57495,-1296.42505,-3.14159274,3.14159274
504403570582355968,7,5,20.3999996,182.200348,-1296.42505,-1103.57495,-3.14159274,3.14159274
504403570582355968,7,6,20.3999996,182.200348,-1103.57495,-1096.42505,-3.14159274,3.14159274
504403708021309440,7,7,20.3999996,182.200348,-1096.42505,-963.575012,-3.14159274,3.14159274
504403708021309440,7,8,20.3999996,182.200348,-963.575012,-956.424988,-3.14159274,3.14159274
504403845460262912,7,9,20.3999996,182.200348,-956.424988,-823.575012,-3.14159274,3.14159274
504403845460262912,7,10,20.3999996,182.200348,-823.575012,-816.424988,-3.14159274,3.14159274
504403982899216384,7,11,20.3999996,182.200348,-816.424988,-703.575012,-3.14159274,3.14159274
504403982899216384,7,12,20.3999996,182.200348,-703.575012,-696.424988,-3.14159274,3.14159274
504404120338169856,7,13,20.3999996,182.200348,-696.424988,-603.575012,-3.14159274,3.14159274
504404120338169856,7,14,20.3999996,182.200348,-603.575012,-596.424988,-3.14159274,3.14159274
504404120338169856,7,15,20.3999996,182.200348,-596.424988,-544.712524,-3.14159274,3.14159274
576460889742376960,8,1,20.3999996,30.364357,-544.712524,544.712524,-3.14159274,3.14159274
576460889742376960,8,2,30.364357,35.5111961,-544.712524,544.712524,-3.14159274,3.14159274
576461027181330432,8,3,35.5111961,69.9913101,-544.712524,544.712524,-3.14159274,3.14159274
576461027181330432,8,4,69.9913101,74.9644318,-544.712524,544.712524,-3.14159274,3.14159274
576461164620283904,8,5,74.9644318,113.804527,-544.712524,544.712524,-3.14159274,3.14159274
576461164620283904,8,6,113.804527,118.789742,-544.712524,544.712524,-3.14159274,3.14159274
576461302059237376,8,7,118.789742,169.705826,-544.712524,544.712524,-3.14159274,3.14159274
576461302059237376,8,8,169.705826,174.695206,-544.712524,544.712524,-3.14159274,3.14159274
576461302059237376,8,9,174.695206,182.200348,-544.712524,544.712524,-3.14159274,3.14159274
